2025-06-04 09:33:46
Parameters:
init_smi: CC
program_name: cc
output_path: .\case3\results
pocket_file: .\case3\imatinib_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 8000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
273,0.701,0.424,4.564,COC(N)CO
274,0.788,0.444,3.992,COC(C)O
275,0.895,0.432,3.957,CCOC
276,0.795,0.426,4.019,C=CCO
277,0.788,0.352,4.29,CCC(=N)O
278,0.651,0.335,4.146,C#CC=COC
279,0.788,0.352,4.29,CCC(=N)O
280,0.69,0.356,4.356,CC#CCON
281,0.799,0.42,4.413,COC(C)(O)O
282,0.696,0.421,4.383,N#CCON
283,0.665,0.334,4.338,C#CCON
284,0.678,0.32,4.434,CC(O)=C=N
285,0.665,0.334,4.338,C#CCON
286,0.893,0.464,4.048,CCCO
287,0.793,0.429,4.29,CCON
288,0.891,0.407,3.994,CCO
289,0.811,0.385,3.739,CO
290,0.707,0.269,4.5,COOCC(N)N
291,0.893,0.464,4.048,CCCO
292,0.777,0.354,4.197,CCOOC
293,0.777,0.354,4.197,CCOOC
294,0.785,0.291,4.233,COOCCO
295,0.807,0.354,4.262,CCOO
296,0.807,0.354,4.262,CCOO
297,0.807,0.354,4.262,CCOO
298,0.799,0.391,4.241,CCCOO
299,0.807,0.354,4.262,CCOO
300,0.795,0.426,4.019,C=CCO
301,0.762,0.41,4.241,NOCCO
302,0.848,0.329,4.314,O=CC(=O)O
303,0.843,0.419,4.176,CC(C)C=O
304,0.808,0.429,3.973,CC=C(C)O
305,0.646,0.288,4.513,N=CCCON
306,0.723,0.341,4.699,CCONN
307,0.7,0.367,5.048,CCONNC
308,0.738,0.398,4.076,CC#CCO
309,0.628,0.302,4.564,C=NNOCC
310,0.707,0.479,4.667,CC(N)CCON
311,0.67,0.446,4.396,C=CC(N)CO
312,0.651,0.451,4.395,C#CC(C)CO
313,0.709,0.456,5.188,COCC(C)(N)O
314,0.685,0.41,4.184,N#CCC=O
315,0.618,0.287,3.884,C#CN
316,0.888,0.463,4.019,CCCN
317,0.842,0.407,4.396,CCCCON
318,0.632,0.392,4.605,C=CC(C)ON
319,0.602,0.459,4.266,CC1CCON1
320,0.787,0.377,4.852,NCC(O)CN
321,0.74,0.448,3.982,C=CC(C)O
322,0.691,0.345,4.618,C=CC(C)(N)O
323,0.744,0.486,4.123,C=C(CO)OC
324,0.691,0.345,4.618,C=CC(C)(N)O
325,0.639,0.41,4.31,C=CC(=C)C=CO
326,0.639,0.373,4.209,C=CC#CC
327,0.592,0.341,4.791,C#CC(=C)C(N)O
328,0.722,0.471,4.156,CC=CC(C)O
329,0.687,0.476,4.281,C=C(CO)C(C)N
330,0.69,0.464,4.395,CCC(N)=CO
331,0.619,0.37,4.142,C#CCC=CO
332,0.697,0.378,4.048,C=C(C)C=CO
333,0.657,0.416,4.066,CCC#CO
334,0.854,0.456,4.465,CC(=O)CN
335,0.791,0.434,4.469,CC(O)CN
336,0.798,0.353,4.27,CCCNN
337,0.806,0.455,4.099,CCCC#N
338,0.58,0.349,4.672,CC(C=N)C(=N)O
339,0.892,0.475,4.0,CCCOC
340,0.896,0.493,4.603,COCCCN
341,0.892,0.475,4.0,CCCOC
342,0.68,0.412,4.48,COCCC=C=N
343,0.68,0.412,4.48,COCCC=C=N
