2025-06-04 16:47:59
Parameters:
init_smi: Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
program_name: ZM241385
output_path: .\case4\results
pocket_file: .\case4\ZM241385_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 4000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
120,0.601,0.384,8.766,C=C(Cc1c(C)cc2cc1OO2)N(O)c1nc(N)n2nc(-c3ccco3)nc2n1
121,0.775,0.469,7.518,C=Nc1ccc(-c2nc3nc(NCCc4ccc(OC)cc4)nc(N)n3n2)o1
122,0.717,0.285,7.747,Cc1cc(OO)ccc1C(N)CNc1nc(N)n2nc(-c3ccco3)nc2n1
123,0.767,0.327,8.036,CNc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3occc3C)nn12
124,0.649,0.601,8.49,CC1Cc2cccc(c2)N1c1nc(N)n2nc(-c3ccco3)nc2n1
125,0.788,0.418,7.598,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3occc3O)nn12
126,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
127,0.695,0.185,6.954,Cc1oc(-c2nc3nc(NC(C)C(=NO)c4ccc(O)cc4)nc(N)n3n2)cc1O
128,0.687,0.365,7.744,Cc1cc2cc(CCNc3nc(N)n4nc(-c5ccco5)nc4n3)c1cc2ON
129,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
130,0.624,0.443,7.902,Nc1nc(NCCC2=CC3=C(OO)C=C2C3)nc2nc(-c3ccco3)nn12
131,0.56,0.59,8.305,C=C1C2Oc3ccc2c(c3)N1c1nc(N)n2nc(-c3ccco3)nc2n1
132,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
133,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
134,0.741,0.285,8.566,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3cc(N)co3)nc2n1
135,0.753,0.205,7.871,N=C(CNc1nc(N)n2nc(-c3ccco3)nc2n1)c1ccc(OON)cc1
136,0.746,0.285,7.977,C=Nc1nc(NCCc2ccc(OO)cc2C)nc2nc(-c3ccco3)nn12
137,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
138,0.548,0.226,7.754,N=Nc1nc(N2c3cc(ccc3OO)C(O)C2O)nc2nc(-c3ccco3)nn12
139,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
140,0.744,0.365,6.957,CC(Nc1nc(N)n2nc(-c3ccco3)nc2n1)c1ccccc1OO
141,0.617,0.367,8.44,Cc1cc(OO)c2cc1CC2Nc1nc(N)n2nc(-c3ccco3)nc2n1
142,0.764,0.235,7.95,COc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)c(C)c1C=NN
143,0.603,0.226,8.181,N=Cc1cc(OO)c(O)cc1CC1=Nc2nc(nc3nc(-c4ccco4)nn23)N1
144,0.605,0.267,7.837,Nc1nc(NC(O)(O)Cc2ccc3cc2OOO3)nc2nc(-c3ccco3)nn12
145,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
146,0.515,0.513,7.404,Cc1c2ccc(C(N)C3=Nc4nc(nc5nc(-c6ccco6)nn45)N3)c1OO2
147,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
148,0.652,0.475,7.727,Cc1cc(CN)c(-c2nc3nc(N4CCc5ccc(O)c4c5C)nc(N)n3n2)o1
149,0.554,0.424,7.711,OOc1ccc2cc1C(N1Nc3nc1nc1nc(-c4ccco4)nn31)C2
150,0.785,0.401,8.086,CNCc1c(OC)ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)c1C
151,0.739,0.167,7.608,Cc1cc(CCNc2nc(N)n3nc(-c4occc4CN)nc3n2)cc(N)c1OO
152,0.775,0.327,8.006,CNc1nc(NCCc2ccc(OO)cc2C)nc2nc(-c3ccco3)nn12
153,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
154,0.639,0.269,7.782,ONc1nc(NCC2=Cc3cc2ccc3OOO)nc2nc(-c3ccco3)nn12
155,0.615,0.517,7.937,Nc1nc(NCCc2ccc3cc2C#CO3)nc2nc(-c3ccco3)nn12
156,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
